Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time
1,Samsung,Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty,B06Y14T5YW,489.88,4.0,1372,2018-10-08,13:01
2,Huawei,Huawei Mate SE Factory Unlocked 5.93” - 4GB/64GB Octa-core Processor| 16MP + 2MP Dual Camera| GSM Only |Gold (US Warranty),B0791BJBX8,237.74,4.4,947,2018-10-08,13:01
3,Samsung,"Samsung Galaxy J7 Neo (16GB) J701M/DS - 5.5"", Android 7.0, Dual SIM Unlocked Smartphone, International Model - Gold",B074D5YHPP,140.84,4.0,229,2018-10-08,13:01
4,Essential,"Essential Phone 128 GB Unlocked with Full Display, Dual Camera – Black Moon",B074BWGRKH,339.99,4.1,1647,2018-10-08,13:01
5,Motorola,Moto G6 – 32 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Black - Prime Exclusive Phone,B079Z3DX1W,239.99,3.9,308,2018-10-08,13:01
6,Huawei,Huawei Mate SE Factory Unlocked 5.93” - 4GB/64GB Octa-core Processor| 16MP + 2MP Dual Camera| GSM Only |Grey (US Warranty),B0791VS3N9,249.0,4.4,947,2018-10-08,13:01
7,BLU,"BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -White",B01FS0AAZG,49.99,3.0,1426,2018-10-08,13:01
8,Samsung,Samsung Galaxy S9 Unlocked Smartphone - Midnight Black - US Warranty,B079H6RLKQ,619.99,4.2,682,2018-10-08,13:01
9,Samsung,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS (Black)",B079J5VWWK,100.0,3.8,90,2018-10-08,13:01
10,Motorola,Moto G6 Play – 32 GB – Unlocked (at&T/Sprint/T-Mobile/Verizon) – Deep Indigo – Prime Exclusive Phone,B079YTK8XV,189.99,3.7,225,2018-10-08,13:01
11,Apple,Apple iPhone 6 a1549 16GB Space Gray Unlocked (Certified Refurbished),B00YD547Q6,169.4,3.2,1641,2018-10-08,13:01
12,Samsung,"Samsung Galaxy J7 Neo (16GB) J701M/DS - 5.5"", Android 7.0, Dual SIM Unlocked Smartphone, International Model - Black  ",B074FS49WS,140.0,4.0,229,2018-10-08,13:01
13,BLU,BLU R2 PLUS – 4G LTE 5.5” Full HD Unlocked Smartphone – 32GB + 3GB RAM -Black,B077NXNK2L,129.99,3.3,571,2018-10-08,13:01
14,BLU,"BLU Advance 5.2 - Unlocked Smartphone - 5.2"" Display, 8GB +1GB RAM -Black",B076MM5LM7,59.99,2.8,851,2018-10-08,13:01
15,BLU,BLU Advance A4 -Unlocked Dual Sim Smartphone -Black,B072N6BD9V,39.99,2.8,851,2018-10-08,13:01
16,Motorola,"Motorola Moto G6 Factory Unlocked Phone - 5.7"" Screen - 32GB - Black (U.S. Warranty)",B079Z792J7,229.99,4.0,20,2018-10-08,13:01
17,Huawei,Huawei P20 Lite ANE-LX3 32GB + 4GB Dual SIM LTE Factory Unlocked Smartphone (Klein Blue),B07C5HH17G,240.4,4.2,195,2018-10-08,13:01
18,Samsung,"Samsung Galaxy J7 Neo (16GB) J701M/DS - 5.5"", Android 7.0, Dual SIM Unlocked Smartphone, International Model (Silver)",B074FS1FW9,142.0,4.0,229,2018-10-08,13:01
19,Honor,"Honor 7X GSM Unlocked Smartphone 5.93” FullView Display, 16MP + 2MP Dual-Lens Camera, Dual SIM, Expandable Storage, Black (US Warranty)",B078NCL7GK,199.99,4.2,1020,2018-10-08,13:01
20,Nokia,"Nokia 6.1 (2018) - Android One (Oreo) - 32 GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.5"" Screen - Black - U.S. Warranty",B07B4KPFKM,229.99,3.4,266,2018-10-08,13:01
