Product,Official Price Wk1841
XA2_Black,299.99
XA2_Silver,299.99
XA2_Pink,299.99
XA2_Blue,299.99
XA2_Ultra_Black,399.99
XA2_Ultra_Silver,399.99
XA2_Ultra_Gold,399.99
XA2_Ultra_Blue,399.99
L2_Black,219.99
L2_Pink,219.99
L2_Gold,219.99
XZ3_Black_Ear_Duo,899.99
XZ3_Black,899.99
XZ3_Silver,899.99
XZ3_Green,899.99
XZ2_Premium_Black,999.99
XZ2_Premium_Chrome,999.99
XZ2_Premium_Bundle_Black,999.99
XZ2_Premium_Bundle_Chrome,999.99
XZ2_Black,699.99
XZ2_Silver,699.99
XZ2_Pink,699.99
XZ2_Green,699.99
XZ2_Beach_B_Black,699.99
XZ2_Beach_B_Silver,699.99
XZ2_Beach_B_Pink,699.99
XZ2_Beach_B_Green,699.99
XZ2_Compact_Black,499.99
XZ2_Compact_Silver,499.99
XZ2_Compact_Pink,499.99
XZ2_Compact_Green,499.99
XZ2_Compact_Beach_B_Black,499.99
XZ2_Compact_Beach_B_Silver,499.99
XZ2_Compact_Beach_B_Pink,499.99
XZ2_Compact_Beach_B_Green,499.99
XZ1_Black,499.99
XZ1_Silver,499.99
XZ1_Blue,499.99
XZ1_Pink,499.99
XZ_Premium_Black,599.99
XZ_Premium_Chrome,599.99
XZ_Premium_Pink,599.99
XZ_Premium_Red,599.99
XA1_Plus_Black,299.99
XA1_Plus_Blue,299.99
XA1_Plus_Gold,299.99
