Product,asin
XA2_Black,B077ZKFB2D
XA2_Silver,B077ZL594Y
XA2_Pink,B077ZLD4PP
XA2_Blue,B077ZG9DHC
XA2_Ultra_Black,B077ZRWXPF
XA2_Ultra_Silver,B077ZKKDWK
XA2_Ultra_Gold,B077ZRWXPH
XA2_Ultra_Blue,B077ZKKBDB
L2_Black,B077ZMWX1W
L2_Pink,B077ZKF4N8
L2_Gold,B077ZMYJSS
XZ3_Black_Ear_Duo,B07H6VBGJC
XZ3_Black,B07H6THXJM
XZ3_Silver,B07H6R4Y2V
XZ3_Green,B07H6V8TB9
XZ2_Premium_Black,B07DF9R73K
XZ2_Premium_Chrome,B07DFDJJ7N
XZ2_Premium_Bundle_Black,B07G5GT9R5
XZ2_Premium_Bundle_Chrome,B07G5GZ1H8
XZ2_Black,B07B814C48
XZ2_Silver,B07B82VTX5
XZ2_Pink,B07B8123TD
XZ2_Green,B07B7TX5XG
XZ2_Compact_Black,B07B821WFJ
XZ2_Compact_Silver,B07B7X2PQT
XZ2_Compact_Pink,B07B81WJRQ
XZ2_Compact_Green,B07B81H8WY
XZ1_Black,B074P5FMG6
XZ1_Silver,B074P5FMG5
XZ1_Blue,B074P4TKD1
XZ1_Pink,B074P62MW8
XZ_Premium_Black,B06Y2HG62W
XZ_Premium_Chrome,B06Y2GTCFS
XZ_Premium_Pink,B06Y2GX8K8
XZ_Premium_Red,B075S66YWP
XA1_Plus_Black,B075QNK3RN
XA1_Plus_Blue,B075QRTVNC
XA1_Plus_Gold,B075QNK3RK
