Product,producturl
XA2_Black,https://www.bhphotovideo.com/c/product/1387504-REG/sony_1312_5195_xperia_xa2_h3123_32gb.html
XA2_Silver,https://www.bhphotovideo.com/c/product/1387507-REG/sony_1312_5196_xperia_xa2_h3123_32gb.html
XA2_Pink,https://www.bhphotovideo.com/c/product/1387506-REG/sony_1312_5200_xperia_xa2_h3123_32gb.html
XA2_Blue,https://www.bhphotovideo.com/c/product/1387505-REG/sony_1312_5197_xperia_xa2_h3123_32gb.html
XA2_Ultra_Black,https://www.bhphotovideo.com/c/product/1387508-REG/sony_1312_5050_xperia_xa2_ultra_h3223.html
XA2_Ultra_Silver,https://www.bhphotovideo.com/c/product/1387511-REG/sony_1312_5014_xperia_xa2_ultra_h3223.html
XA2_Ultra_Gold,https://www.bhphotovideo.com/c/product/1387510-REG/sony_1312_4999_xperia_xa2_ultra_h3223.html
XA2_Ultra_Blue,https://www.bhphotovideo.com/c/product/1387509-REG/sony_1312_4983_xperia_xa2_ultra_h3223.html
L2_Black,https://www.bhphotovideo.com/c/product/1387512-REG/sony_1312_5145_xperia_l2_h3321_32gb.html
L2_Pink,https://www.bhphotovideo.com/c/product/1387513-REG/sony_1312_5148_xperia_l2_h3321_32gb.html
L2_Gold,https://www.bhphotovideo.com/c/product/1387514-REG/sony_1312_5150_xperia_l2_h3321_32gb.html
XZ2_Premium_Black,https://www.bhphotovideo.com/c/product/1430617-REG/sony_1313_8643_xperia_xz2_premium_5_8.html
XZ2_Premium_Chrome,https://www.bhphotovideo.com/c/product/1430618-REG/sony_1313_8644_xperia_xz2_premium_5_8.html
XZ2_Black,https://www.bhphotovideo.com/c/product/1400719-REG/sony_1313_7925_xperia_xz2_h8266_64gb.html
XZ2_Silver,https://www.bhphotovideo.com/c/product/1400720-REG/sony_1313_7926_xperia_xz2_h8266_64gb.html
XZ2_Pink,https://www.bhphotovideo.com/c/product/1400722-REG/sony_1313_7930_xperia_xz2_h8266_64gb.html
XZ2_Green,https://www.bhphotovideo.com/c/product/1400721-REG/sony_1313_7929_xperia_xz2_h8266_64gb.html
XZ2_Compact_Black,https://www.bhphotovideo.com/c/product/1400723-REG/sony_1313_7923_xperia_xz2_compact_h8314.html
XZ2_Compact_Silver,https://www.bhphotovideo.com/c/product/1400724-REG/sony_1313_7910_xperia_xz2_compact_h8314.html
XZ2_Compact_Pink,https://www.bhphotovideo.com/c/product/1400726-REG/sony_1313_7920_xperia_xz2_compact_h8314.html
XZ2_Compact_Green,https://www.bhphotovideo.com/c/product/1400725-REG/sony_1313_7916_xperia_xz2_compact_h8314.html
