Product,producturl
XA2_Black,https://www.bestbuy.com/site/sony-xperia-xa2-4g-lte-with-32gb-memory-cell-phone-unlocked-black/6178296.p?skuId=6178296
XA2_Silver,https://www.bestbuy.com/site/sony-xperia-xa2-4g-lte-with-32gb-memory-cell-phone-unlocked-silver/6178303.p?skuId=6178303
XA2_Pink,https://www.bestbuy.com/site/sony-xperia-xa2-4g-lte-with-32gb-memory-cell-phone-unlocked-pink/6178302.p?skuId=6178302
XA2_Blue,https://www.bestbuy.com/site/sony-xperia-xa2-4g-lte-with-32gb-memory-cell-phone-unlocked-blue/6178300.p?skuId=6178300
XA2_Ultra_Black,https://www.bestbuy.com/site/sony-xperia-xa2-ultra-4g-lte-with-32gb-memory-cell-phone-unlocked-black/6178295.p?skuId=6178295
XA2_Ultra_Silver,https://www.bestbuy.com/site/sony-xperia-xa2-ultra-4g-lte-with-32gb-memory-cell-phone-unlocked-silver/6178297.p?skuId=6178297
XA2_Ultra_Gold,https://www.bestbuy.com/site/sony-xperia-xa2-ultra-4g-lte-with-32gb-memory-cell-phone-unlocked-gold/6178305.p?skuId=6178305
XA2_Ultra_Blue,https://www.bestbuy.com/site/sony-xperia-xa2-ultra-4g-lte-with-32gb-memory-cell-phone-unlocked-blue/6178308.p?skuId=6178308
L2_Black,https://www.bestbuy.com/site/sony-xperia-l2-4g-lte-with-32gb-memory-cell-phone-unlocked-black/6178301.p?skuId=6178301
L2_Pink,https://www.bestbuy.com/site/sony-xperia-l2-4g-lte-with-32gb-memory-cell-phone-unlocked-pink/6178299.p?skuId=6178299
L2_Gold,https://www.bestbuy.com/site/sony-xperia-l2-4g-lte-with-32gb-memory-cell-phone-unlocked-gold/6178306.p?skuId=6178306
XZ2_Premium_Black,https://www.bestbuy.com/site/sony-xperia-xz2-premium-with-64gb-memory-cell-phone-unlocked-chrome-black/6259980.p?skuId=6259980
XZ2_Premium_Chrome,https://www.bestbuy.com/site/sony-xperia-xz2-premium-with-64gb-memory-cell-phone-unlocked-chrome-silver/6259979.p?skuId=6259979
XZ2_Black,https://www.bestbuy.com/site/sony-xperia-xz2-with-64gb-memory-cell-phone-unlocked-liquid-black/6219454.p?skuId=6219454
XZ2_Silver,https://www.bestbuy.com/site/sony-xperia-xz2-with-64gb-memory-cell-phone-unlocked-liquid-silver/6219458.p?skuId=6219458
XZ2_Pink,https://www.bestbuy.com/site/sony-xperia-xz2-with-64gb-memory-cell-phone-unlocked-ash-pink/6219455.p?skuId=6219455
XZ2_Green,https://www.bestbuy.com/site/sony-xperia-xz2-with-64gb-memory-cell-phone-unlocked-deep-green/6219457.p?skuId=6219457
XZ2_Compact_Black,https://www.bestbuy.com/site/sony-xperia-xz2-compact-with-64gb-memory-cell-phone-unlocked-black/6219456.p?skuId=6219456
XZ2_Compact_Silver,https://www.bestbuy.com/site/sony-xperia-xz2-compact-with-64gb-memory-cell-phone-unlocked-white-silver/6219452.p?skuId=6219452
XZ2_Compact_Pink,https://www.bestbuy.com/site/sony-xperia-xz2-compact-with-64gb-memory-cell-phone-unlocked-coral-pink/6219460.p?skuId=6219460
XZ2_Compact_Green,https://www.bestbuy.com/site/sony-xperia-xz2-compact-with-64gb-memory-cell-phone-unlocked-moss-green/6219453.p?skuId=6219453
XZ_Premium_Pink,https://www.bestbuy.com/site/sony-xperia-xz-premium-4g-lte-with-64gb-memory-cell-phone-unlocked-bronze-pink/5859703.p?skuId=5859703
