Product,productid
XA2_Black,N82E16875212409
XA2_Silver,N82E16875212412
XA2_Pink,9SIA29P73V2368
XA2_Blue,9SIA25V70A2188
XA2_Ultra_Black,N82E16875212413
XA2_Ultra_Silver,N82E16875212416
XA2_Ultra_Blue,9SIA29P74X2422
L2_Black,9SIA29P6XF7954
L2_Pink,9SIA29P6XF7956
L2_Gold,9SIA29P6XF7957
XZ2_Black,N82E16875212422
XZ2_Silver,9SIA29P7E33911
XZ2_Pink,9SIA29P7E33912
XZ2_Green,9SIA29P7E33908
XZ2_Beach_B_Black,9SIAC4Z7E11835
XZ2_Beach_B_Silver,9SIAC4Z7E11834
XZ2_Beach_B_Pink,9SIAC4Z7E11832
XZ2_Beach_B_Green,9SIAC4Z7E11836
XZ2_Compact_Silver,N82E16875212425
XZ2_Compact_Pink,9SIA29P7E33907
XZ2_Compact_Green,N82E16875212423
XZ2_Compact_Beach_B_Black,9SIAC4Z7E11841
XZ2_Compact_Beach_B_Silver,9SIAC4Z7E11843
XZ2_Compact_Beach_B_Pink,9SIAC4Z7E11840
XZ2_Compact_Beach_B_Green,9SIAC4Z7E11839
