Product,Wk1823,Wk1824,Wk1825,Wk1826,Wk1827,Wk1828,Wk1829,Wk1830,Wk1831,Wk1832,Wk1833,Wk1834,Wk1835,Wk1836,Wk1837,Wk1838,Wk1839,Wk1840,Wk1841,Wk1842,Wk1843,Wk1844,Wk1845,Wk1846,Wk1847,Wk1848,Wk1849,Wk1850,Wk1851,Wk1852,Wk1901,Wk1902,Wk1903,Wk1904,Wk1905,Wk1906,Wk1907,Wk1908,Wk1909,Wk1910,Wk1911,Wk1912,Wk1913,Wk1914,Wk1915,Wk1916,Wk1917,Wk1918,Wk1919,Wk1920,Wk1921,Wk1922,Wk1923,Wk1924,Wk1925,Wk1926,Wk1927,Wk1928,Wk1929,Wk1930,Wk1931,Wk1932,Wk1933,Wk1934,Wk1935,Wk1936,Wk1937,Wk1938,Wk1939,Wk1940,Wk1941,Wk1942,Wk1943,Wk1944,Wk1945,Wk1946,Wk1947,Wk1948,Wk1949,Wk1950,Wk1951,Wk1952
XA2_Black,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Silver,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Pink,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Blue,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Ultra_Black,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Ultra_Silver,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Ultra_Gold,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA2_Ultra_Blue,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_Black,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_Pink,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_Gold,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ3_Black_Ear_Duo,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ3_Black,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ3_Silver,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ3_Green,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,899.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Premium_Black,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Premium_Chrome,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Premium_Bundle_Black,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Premium_Bundle_Chrome,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Black,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Silver,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Pink,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Green,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Beach_B_Black,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Beach_B_Silver,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Beach_B_Pink,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Beach_B_Green,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZ2_Compact_Black,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
